"longitude","latitude","cluster","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
-119.472611,49.907384,1,76,180,-30,361,39,21,19,107,68,105,93,120,33,8095,274,-79,353,159,32
-123.23905,49.27312,4,99,167,35,1209,187,34,52,526,124,124,483,77,34,5175,223,1,222,41,167
-120.317854,47.545682,1,77,183,-31,377,64,10,55,177,41,47,160,122,33,8365,281,-82,363,-24,179
-122.990356,45.500526,4,109,178,44,1105,187,16,62,525,85,90,485,113,43,5301,264,2,262,48,178
-123.018556,49.318237,4,99,167,34,1293,199,36,52,561,132,132,518,79,34,5214,226,-2,228,40,167
-120.430772,45.583803,2,113,211,20,250,40,6,52,113,26,28,100,127,37,7453,311,-28,339,24,206
-86.786742,33.462439,2,165,257,67,1427,160,77,18,422,276,334,394,129,39,7350,326,-4,330,83,219
-91.754593,31.865686,2,184,271,92,1431,155,87,19,420,264,294,420,126,40,6957,338,23,315,92,235
-85.609681,32.508969,2,171,256,77,1418,169,72,22,440,265,343,407,131,41,6961,321,4,317,92,223
-85.442917,32.013442,2,179,261,88,1313,153,62,21,401,241,343,372,130,41,6735,326,16,310,103,186
-89.359934,31.272022,2,185,267,98,1567,158,83,16,453,310,388,449,130,42,6581,334,25,309,113,189
-79.682694,32.863053,2,184,265,97,1269,173,67,31,462,234,462,261,105,36,6514,318,32,286,265,148
-76.915002,37.33893,2,143,243,38,1121,122,76,14,329,246,327,257,123,36,7917,312,-28,340,236,98
